duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,label
0.0,tcp,domain,S0,0.0,0.0,220.0,19.0,1.0,neptune
0.0,icmp,eco_i,SF,8.0,0.0,1.0,44.0,0.0,ipsweep
0.0,tcp,http,SF,320.0,379.0,9.0,9.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,212.0,7.0,1.0,neptune
0.0,tcp,http,SF,225.0,3762.0,10.0,10.0,0.0,normal
0.0,tcp,ftp,S0,0.0,0.0,250.0,13.0,1.0,neptune
0.0,tcp,private,REJ,0.0,0.0,132.0,15.0,0.0,neptune
315.0,udp,other,SF,146.0,105.0,3.0,2.0,0.0,normal
0.0,tcp,http,SF,247.0,1416.0,11.0,11.0,0.0,normal
0.0,tcp,http,SF,353.0,1483.0,3.0,9.0,0.0,normal
0.0,udp,domain_u,SF,44.0,44.0,109.0,189.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,146.0,18.0,0.0,neptune
0.0,tcp,csnet_ns,S0,0.0,0.0,300.0,6.0,1.0,neptune
2.0,tcp,smtp,SF,3065.0,331.0,1.0,2.0,0.0,normal
0.0,udp,other,SF,102.0,102.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,259.0,750.0,4.0,5.0,0.0,normal
1082.0,udp,other,SF,147.0,105.0,2.0,2.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,129.0,16.0,1.0,neptune
0.0,tcp,http,SF,0.0,354.0,32.0,32.0,0.03,normal
0.0,tcp,http,SF,309.0,306.0,1.0,1.0,0.0,normal
0.0,tcp,http,REJ,0.0,0.0,1.0,2.0,0.0,normal
0.0,tcp,http,SF,278.0,7227.0,3.0,3.0,0.0,normal
0.0,udp,private,SF,28.0,0.0,82.0,82.0,0.0,teardrop
0.0,tcp,http,SF,313.0,761.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,219.0,1212.0,15.0,15.0,0.0,normal
0.0,tcp,http,SF,245.0,9165.0,2.0,3.0,0.0,normal
0.0,tcp,http,SF,328.0,2243.0,21.0,21.0,0.0,normal
0.0,tcp,http,REJ,0.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,251.0,301.0,3.0,7.0,0.0,normal
0.0,tcp,smtp,SF,2089.0,335.0,2.0,2.0,0.0,normal
0.0,tcp,http,REJ,0.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,237.0,511.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,324.0,431.0,4.0,5.0,0.0,normal
25950.0,tcp,private,RSTR,1.0,0.0,2.0,2.0,0.0,portsweep
0.0,tcp,Z39_50,REJ,0.0,0.0,110.0,17.0,0.0,neptune
0.0,udp,private,SF,105.0,145.0,4.0,1.0,0.0,normal
0.0,tcp,http,SF,218.0,974.0,6.0,6.0,0.0,normal
0.0,tcp,http,SF,325.0,2649.0,7.0,7.0,0.0,normal
0.0,tcp,uucp_path,REJ,0.0,0.0,246.0,20.0,0.0,neptune
0.0,tcp,bgp,REJ,0.0,0.0,272.0,19.0,0.0,neptune
0.0,tcp,csnet_ns,S0,0.0,0.0,259.0,8.0,1.0,neptune
240.0,tcp,http,SF,328.0,275.0,9.0,10.0,0.0,normal
0.0,tcp,bgp,S0,0.0,0.0,294.0,6.0,1.0,neptune
0.0,tcp,finger,SF,9.0,138.0,1.0,1.0,0.0,normal
0.0,udp,domain_u,SF,46.0,46.0,96.0,178.0,0.0,normal
1.0,tcp,smtp,SF,1079.0,334.0,1.0,1.0,0.0,normal
0.0,udp,domain_u,SF,45.0,139.0,79.0,159.0,0.0,normal
26.0,tcp,ftp,SF,273.0,903.0,1.0,1.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,190.0,20.0,1.0,neptune
0.0,tcp,ldap,REJ,0.0,0.0,135.0,5.0,0.0,neptune
0.0,tcp,http,SF,237.0,138.0,2.0,2.0,0.0,normal
0.0,tcp,http,SF,225.0,1357.0,1.0,1.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,123.0,7.0,1.0,neptune
0.0,tcp,supdup,S0,0.0,0.0,245.0,20.0,1.0,neptune
0.0,udp,other,SF,147.0,0.0,3.0,1.0,0.0,normal
0.0,tcp,http,SF,262.0,1011.0,3.0,4.0,0.0,normal
0.0,icmp,ecr_i,SF,1032.0,0.0,263.0,263.0,0.0,smurf
0.0,tcp,private,S0,0.0,0.0,109.0,13.0,1.0,neptune
0.0,tcp,http,SF,261.0,8412.0,9.0,9.0,0.0,normal
0.0,tcp,bgp,REJ,0.0,0.0,145.0,8.0,0.0,neptune
0.0,tcp,netbios_dgm,REJ,0.0,0.0,250.0,2.0,0.0,neptune
0.0,tcp,http,SF,294.0,1719.0,8.0,8.0,0.0,normal
0.0,tcp,http,SF,221.0,981.0,2.0,3.0,0.0,normal
0.0,tcp,http,SF,284.0,10352.0,2.0,2.0,0.0,normal
0.0,tcp,gopher,SH,0.0,0.0,1.0,1.0,1.0,nmap
0.0,tcp,http,SF,309.0,16096.0,3.0,3.0,0.0,normal
0.0,tcp,ftp_data,SF,334.0,0.0,2.0,2.0,0.0,warezclient
0.0,tcp,telnet,S0,0.0,0.0,13.0,4.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,87.0,1.0,1.0,neptune
0.0,tcp,http,SF,214.0,283.0,2.0,2.0,0.0,normal
0.0,tcp,vmnet,S0,0.0,0.0,292.0,13.0,1.0,neptune
0.0,tcp,systat,S0,0.0,0.0,295.0,18.0,1.0,neptune
0.0,tcp,http_443,S0,0.0,0.0,143.0,15.0,1.0,neptune
0.0,udp,domain_u,SF,46.0,78.0,278.0,277.0,0.0,normal
0.0,tcp,ftp_data,SF,748.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,efs,S0,0.0,0.0,102.0,19.0,1.0,neptune
0.0,icmp,eco_i,SF,8.0,0.0,1.0,46.0,0.0,ipsweep
0.0,tcp,whois,S0,0.0,0.0,251.0,3.0,1.0,neptune
0.0,tcp,http,SF,329.0,8437.0,4.0,4.0,0.0,normal
0.0,tcp,ftp_data,SF,9.0,0.0,2.0,2.0,0.0,normal
0.0,udp,domain_u,SF,46.0,128.0,222.0,302.0,0.0,normal
0.0,tcp,ftp_data,SF,1766.0,0.0,2.0,2.0,0.0,normal
0.0,tcp,remote_job,S0,0.0,0.0,260.0,4.0,1.0,neptune
9015.0,tcp,other,RSTR,1.0,0.0,2.0,2.0,0.0,portsweep
7.0,tcp,finger,SF,8.0,135.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,266.0,529.0,1.0,6.0,0.0,normal
0.0,tcp,ftp_data,SF,245.0,0.0,3.0,2.0,0.0,normal
0.0,tcp,http,SF,295.0,465.0,11.0,12.0,0.0,normal
0.0,tcp,gopher,S0,0.0,0.0,44.0,12.0,1.0,neptune
0.0,tcp,http,SF,228.0,6834.0,2.0,7.0,0.0,normal
0.0,icmp,ecr_i,SF,1032.0,0.0,511.0,511.0,0.0,smurf
0.0,tcp,imap4,REJ,0.0,0.0,272.0,15.0,0.0,neptune
0.0,tcp,private,S0,0.0,0.0,122.0,19.0,0.99,neptune
0.0,tcp,whois,S0,0.0,0.0,287.0,3.0,1.0,neptune
0.0,tcp,http,REJ,0.0,0.0,1.0,3.0,0.0,normal
0.0,tcp,other,REJ,0.0,0.0,486.0,1.0,0.08,satan
0.0,udp,other,SF,1.0,0.0,22.0,6.0,0.0,satan
0.0,tcp,iso_tsap,S0,0.0,0.0,286.0,9.0,1.0,neptune
0.0,icmp,ecr_i,SF,30.0,0.0,1.0,1.0,0.0,normal
1.0,tcp,smtp,SF,2078.0,333.0,1.0,2.0,0.0,normal
0.0,tcp,ftp_data,SF,19.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,smtp,SF,661.0,329.0,1.0,1.0,0.0,normal
0.0,udp,private,SF,28.0,0.0,35.0,34.0,0.0,teardrop
0.0,tcp,ftp_data,S0,0.0,0.0,28.0,2.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,108.0,18.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,101.0,5.0,1.0,neptune
0.0,tcp,smtp,SF,1075.0,364.0,1.0,2.0,0.0,normal
0.0,tcp,http,SF,223.0,656.0,12.0,21.0,0.0,normal
15159.0,tcp,ftp,SF,350.0,1185.0,1.0,2.0,0.0,warezclient
0.0,tcp,http,SF,233.0,2470.0,10.0,10.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,223.0,10.0,1.0,neptune
0.0,tcp,echo,S0,0.0,0.0,223.0,17.0,1.0,neptune
0.0,tcp,http,SF,201.0,1938.0,19.0,34.0,0.0,normal
0.0,tcp,http,SF,271.0,4781.0,4.0,7.0,0.0,normal
0.0,tcp,ftp_data,SF,14416.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,227.0,11564.0,5.0,6.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,406.0,1.0,0.0,portsweep
0.0,tcp,http,SF,225.0,2445.0,4.0,5.0,0.0,normal
0.0,tcp,http,SF,176.0,426.0,6.0,6.0,0.0,normal
0.0,tcp,klogin,S0,0.0,0.0,143.0,14.0,1.0,neptune
0.0,tcp,http,SF,227.0,762.0,17.0,17.0,0.0,normal
0.0,tcp,smtp,SF,855.0,575.0,1.0,1.0,0.0,normal
0.0,tcp,smtp,SF,944.0,330.0,1.0,1.0,0.0,normal
0.0,tcp,smtp,SF,954.0,326.0,2.0,1.0,0.0,normal
0.0,tcp,uucp_path,S0,0.0,0.0,201.0,18.0,1.0,neptune
0.0,tcp,http,SF,166.0,34660.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,306.0,2698.0,4.0,5.0,0.0,normal
0.0,tcp,netbios_ns,S0,0.0,0.0,124.0,19.0,1.0,neptune
0.0,tcp,private,REJ,0.0,0.0,162.0,1.0,0.05,satan
0.0,icmp,ecr_i,SF,1480.0,0.0,2.0,4.0,0.0,pod
0.0,tcp,iso_tsap,S0,0.0,0.0,277.0,17.0,1.0,neptune
0.0,tcp,http,SF,313.0,8549.0,4.0,4.0,0.0,normal
0.0,tcp,link,S0,0.0,0.0,274.0,22.0,1.0,neptune
0.0,tcp,sunrpc,S0,0.0,0.0,141.0,12.0,1.0,neptune
0.0,tcp,http,SF,285.0,6008.0,3.0,3.0,0.0,normal
0.0,tcp,http,SF,226.0,1411.0,8.0,23.0,0.0,normal
0.0,tcp,http,SF,256.0,12984.0,1.0,1.0,0.0,normal
1.0,tcp,smtp,SF,3740.0,449.0,1.0,3.0,0.0,normal
0.0,tcp,http,SF,224.0,449.0,10.0,11.0,0.1,normal
0.0,tcp,login,S0,0.0,0.0,103.0,3.0,1.0,neptune
4.0,tcp,ftp_data,SF,832.0,0.0,1.0,1.0,0.0,warezclient
0.0,tcp,finger,S0,0.0,0.0,246.0,20.0,1.0,neptune
0.0,icmp,eco_i,SF,8.0,0.0,1.0,50.0,0.0,ipsweep
0.0,tcp,http,SF,201.0,169.0,7.0,7.0,0.0,normal
0.0,tcp,http,SF,285.0,304.0,32.0,34.0,0.0,normal
0.0,tcp,kshell,S0,0.0,0.0,125.0,24.0,1.0,neptune
0.0,tcp,ftp_data,SF,7422.0,0.0,8.0,8.0,0.0,normal
0.0,tcp,http,SF,198.0,12884.0,2.0,2.0,0.0,normal
20.0,tcp,smtp,SF,2310.0,328.0,1.0,3.0,0.0,normal
0.0,tcp,http,SF,331.0,955.0,6.0,6.0,0.0,normal
0.0,icmp,urp_i,SF,65.0,0.0,9.0,2.0,0.0,normal
0.0,udp,private,SF,28.0,0.0,4.0,4.0,0.0,teardrop
0.0,udp,domain_u,SF,45.0,77.0,171.0,173.0,0.0,normal
0.0,tcp,ftp,RSTO,0.0,0.0,250.0,3.0,0.0,neptune
0.0,tcp,auth,S0,0.0,0.0,238.0,7.0,1.0,neptune
0.0,tcp,kshell,S0,0.0,0.0,102.0,2.0,1.0,neptune
0.0,tcp,finger,SF,9.0,142.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,283.0,912.0,2.0,2.0,0.0,normal
0.0,tcp,http,SF,221.0,1789.0,2.0,10.0,0.5,normal
0.0,icmp,eco_i,SF,18.0,0.0,1.0,1.0,0.0,ipsweep
0.0,tcp,vmnet,S0,0.0,0.0,281.0,2.0,1.0,neptune
0.0,tcp,telnet,S0,0.0,0.0,30.0,2.0,1.0,neptune
0.0,tcp,ftp_data,S0,0.0,0.0,276.0,8.0,1.0,neptune
0.0,tcp,http,SF,302.0,1380.0,5.0,5.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,163.0,9.0,1.0,neptune
0.0,icmp,eco_i,SF,8.0,0.0,1.0,21.0,0.0,ipsweep
0.0,tcp,private,S0,0.0,0.0,301.0,20.0,1.0,neptune
0.0,tcp,http,SF,355.0,870.0,28.0,28.0,0.0,normal
0.0,icmp,eco_i,SF,8.0,0.0,1.0,23.0,0.0,ipsweep
18.0,tcp,telnet,SF,106.0,1468.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,286.0,1423.0,16.0,16.0,0.0,normal
9235.0,tcp,other,RSTR,1.0,0.0,2.0,2.0,0.0,portsweep
0.0,tcp,sql_net,SH,0.0,0.0,1.0,1.0,1.0,nmap
0.0,icmp,ecr_i,SF,1032.0,0.0,46.0,46.0,0.0,smurf
0.0,tcp,http,SF,168.0,9551.0,1.0,2.0,0.0,normal
0.0,tcp,http,SF,238.0,864.0,39.0,39.0,0.0,normal
0.0,tcp,private,RSTR,0.0,0.0,1.0,1.0,0.0,portsweep
0.0,tcp,http,SF,291.0,10369.0,6.0,6.0,0.0,normal
0.0,tcp,vmnet,S0,0.0,0.0,211.0,22.0,1.0,neptune
0.0,tcp,smtp,SF,749.0,330.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,198.0,6924.0,12.0,12.0,0.0,normal
0.0,tcp,mtp,REJ,0.0,0.0,280.0,11.0,0.0,neptune
0.0,tcp,http,SF,167.0,709.0,1.0,4.0,0.0,normal
0.0,tcp,http,SF,241.0,851.0,17.0,35.0,0.0,normal
0.0,tcp,http,SF,337.0,3360.0,6.0,6.0,0.0,normal
0.0,tcp,smtp,SF,729.0,328.0,1.0,1.0,0.0,normal
0.0,icmp,eco_i,SF,8.0,0.0,1.0,44.0,0.0,ipsweep
0.0,tcp,csnet_ns,S0,0.0,0.0,201.0,1.0,1.0,neptune
0.0,tcp,http,SF,222.0,1483.0,3.0,3.0,0.0,normal
0.0,tcp,auth,REJ,0.0,0.0,276.0,14.0,0.0,neptune
0.0,tcp,http,REJ,0.0,0.0,1.0,1.0,0.0,normal
0.0,udp,domain_u,SF,46.0,134.0,145.0,225.0,0.0,normal
0.0,tcp,http,SF,246.0,2719.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,222.0,771.0,8.0,8.0,0.0,normal
0.0,tcp,vmnet,S0,0.0,0.0,258.0,10.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,256.0,12.0,1.0,neptune
409.0,tcp,telnet,SF,279.0,9598.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,226.0,651.0,12.0,12.0,0.0,normal
0.0,tcp,http,SF,299.0,447.0,26.0,44.0,0.0,normal
0.0,tcp,http,S0,0.0,0.0,14.0,6.0,1.0,neptune
0.0,tcp,ftp_data,SF,12.0,0.0,2.0,2.0,0.0,normal
0.0,tcp,http,SF,281.0,1951.0,30.0,31.0,0.0,normal
0.0,tcp,bgp,S0,0.0,0.0,138.0,25.0,1.0,neptune
0.0,udp,domain_u,SF,42.0,42.0,4.0,6.0,0.0,normal
0.0,tcp,ftp,S0,0.0,0.0,300.0,7.0,1.0,neptune
0.0,tcp,time,S0,0.0,0.0,199.0,9.0,1.0,neptune
0.0,tcp,http,SF,263.0,453.0,15.0,15.0,0.0,normal
36613.0,tcp,private,RSTR,1.0,0.0,2.0,2.0,0.0,portsweep
0.0,tcp,ftp,RSTO,0.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,144.0,15.0,1.0,neptune
0.0,tcp,sql_net,S0,0.0,0.0,104.0,4.0,1.0,neptune
0.0,tcp,http,SF,283.0,1980.0,18.0,18.0,0.0,normal
0.0,tcp,http,SF,161.0,5530.0,2.0,2.0,0.0,normal
0.0,tcp,http,SF,211.0,321.0,7.0,11.0,0.0,normal
0.0,tcp,http,SF,201.0,1701.0,7.0,7.0,0.0,normal
0.0,icmp,eco_i,SF,8.0,0.0,1.0,25.0,0.0,nmap
0.0,udp,other,SF,147.0,0.0,3.0,1.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,74.0,16.0,1.0,neptune
0.0,tcp,ftp_data,SF,567.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,hostnames,REJ,0.0,0.0,225.0,2.0,0.0,neptune
0.0,tcp,telnet,S0,0.0,0.0,66.0,16.0,0.97,neptune
5043.0,tcp,ftp_data,SF,5131424.0,0.0,1.0,7.0,0.0,warezclient
0.0,tcp,http,SF,320.0,420.0,7.0,7.0,0.0,normal
0.0,icmp,eco_i,SF,8.0,0.0,1.0,35.0,0.0,ipsweep
0.0,tcp,smtp,S0,0.0,0.0,2.0,2.0,0.5,normal
0.0,tcp,http,SF,204.0,1229.0,4.0,4.0,0.0,normal
0.0,tcp,time,RSTR,0.0,0.0,1.0,1.0,0.0,portsweep
0.0,tcp,ftp_data,SF,10389.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,uucp,S0,0.0,0.0,139.0,13.0,1.0,neptune
0.0,tcp,http,SF,344.0,573.0,28.0,60.0,0.04,normal
0.0,tcp,exec,RSTO,0.0,0.0,144.0,16.0,0.0,neptune
0.0,tcp,netbios_dgm,S0,0.0,0.0,241.0,19.0,1.0,neptune
0.0,tcp,http,SF,243.0,821.0,15.0,19.0,0.0,normal
0.0,icmp,ecr_i,SF,1032.0,0.0,213.0,213.0,0.0,smurf
0.0,icmp,eco_i,SF,8.0,0.0,1.0,45.0,0.0,ipsweep
0.0,tcp,private,REJ,0.0,0.0,36.0,1.0,0.17,satan
0.0,udp,private,SF,105.0,146.0,3.0,2.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,254.0,17.0,1.0,neptune
1.0,tcp,smtp,SF,1080.0,327.0,1.0,2.0,0.0,normal
0.0,tcp,telnet,S0,0.0,0.0,295.0,7.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,171.0,3.0,1.0,neptune
0.0,tcp,Z39_50,S0,0.0,0.0,179.0,2.0,1.0,neptune
0.0,tcp,smtp,SF,657.0,326.0,2.0,1.0,0.0,normal
0.0,tcp,http_443,S0,0.0,0.0,101.0,7.0,1.0,neptune
0.0,tcp,http,SF,284.0,765.0,9.0,9.0,0.0,normal
0.0,tcp,http,SF,261.0,15455.0,22.0,22.0,0.0,normal
0.0,tcp,http,SF,317.0,315.0,1.0,2.0,0.0,normal
0.0,udp,domain_u,SF,33.0,0.0,8.0,8.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,2.0,1.0,0.0,portsweep
0.0,tcp,private,RSTR,0.0,0.0,1.0,1.0,0.0,portsweep
0.0,udp,domain_u,SF,44.0,70.0,195.0,197.0,0.0,normal
0.0,tcp,http,SF,215.0,584.0,4.0,9.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,260.0,9.0,1.0,neptune
0.0,tcp,http,SF,332.0,2844.0,14.0,14.0,0.0,normal
1.0,tcp,smtp,SF,978.0,334.0,1.0,3.0,0.0,normal
0.0,tcp,http,SF,296.0,5670.0,10.0,10.0,0.0,normal
0.0,tcp,telnet,S0,0.0,0.0,125.0,13.0,1.0,neptune
0.0,tcp,private,REJ,0.0,0.0,139.0,10.0,0.0,neptune
0.0,tcp,http,SF,214.0,9986.0,10.0,11.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,251.0,7.0,1.0,neptune
0.0,udp,ntp_u,SF,48.0,48.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,226.0,1301.0,5.0,5.0,0.0,normal
0.0,tcp,bgp,S0,0.0,0.0,211.0,17.0,1.0,neptune
0.0,icmp,urp_i,SF,78.0,0.0,20.0,8.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,208.0,2.0,1.0,neptune
0.0,tcp,http,REJ,0.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,discard,S0,0.0,0.0,268.0,19.0,1.0,neptune
0.0,tcp,private,REJ,0.0,0.0,1.0,1.0,0.0,ipsweep
0.0,tcp,private,REJ,0.0,0.0,2.0,1.0,0.0,portsweep
0.0,tcp,http,SF,294.0,3327.0,1.0,19.0,0.0,normal
0.0,tcp,supdup,S0,0.0,0.0,286.0,3.0,1.0,neptune
0.0,tcp,http,SF,220.0,1249.0,7.0,7.0,0.0,normal
0.0,tcp,other,REJ,0.0,0.0,425.0,1.0,0.08,satan
0.0,tcp,http,SF,196.0,3282.0,8.0,9.0,0.0,normal
0.0,tcp,http,S0,0.0,0.0,272.0,30.0,1.0,neptune
0.0,tcp,http,SF,327.0,4482.0,4.0,8.0,0.0,normal
0.0,tcp,uucp_path,REJ,0.0,0.0,241.0,3.0,0.0,neptune
0.0,tcp,ftp_data,SF,319.0,0.0,2.0,2.0,0.0,normal
0.0,tcp,smtp,SF,1087.0,302.0,1.0,1.0,0.0,normal
0.0,tcp,http,SF,210.0,3754.0,18.0,18.0,0.0,normal
0.0,tcp,sql_net,S0,0.0,0.0,125.0,19.0,1.0,neptune
